,Name,gender,is alive,age,Death_Probability
2,Caroline Aaron,Female,yes,62,0.00895
20,Paula Abdul,Female,yes,52,0.0033200000000000005
29,Kathleen Q. Abernathy,Female,yes,58,0.00604
43,Shirley S. Abrahamson,Female,yes,81,0.055420000000000004
55,Jill Abramson,Female,yes,60,0.00734
57,Victoria Abril,Female,yes,55,0.00447
62,Bella Abzug,Female,no,78,0.040310000000000006
63,Candice Accola,Female,yes,27,0.00049
69,Amy Acker,Female,yes,38,0.00124
70,Kathy Acker,Female,no,50,0.00281
71,Sharon Acker,Female,yes,79,0.04462
72,Arlene Ackerman,Female,no,66,0.01325
74,Diane Ackerman,Female,yes,66,0.01325
91,Deborah Adair,Female,yes,62,0.00895
95,Alice Adams,Female,no,73,0.02511
96,Amy Adams,Female,yes,40,0.00146
100,Brooke Adams,Female,yes,65,0.01201
107,Jane Adams,Female,yes,49,0.0026100000000000003
111,Julie Adams,Female,yes,88,0.11955
112,Kathryn Adams,Female,yes,94,0.22268000000000002
115,Maud Adams,Female,yes,69,0.017419999999999998
117,Oleta Adams,Female,yes,52,0.0033200000000000005
123,Sandy Adams,Female,yes,58,0.00604
125,Yolanda Adams,Female,yes,52,0.0033200000000000005
127,Joy Adamson,Female,no,70,0.019119999999999998
132,Dawn Addams,Female,no,55,0.00447
142,Adele,Female,yes,26,0.00045999999999999996
150,Isabelle Adjani,Female,yes,59,0.006659999999999999
155,Allison Adler,Female,yes,47,0.00229
163,Renata Adler,Female,yes,76,0.03305
166,Stella Adler,Female,no,91,0.16549
168,Pamela Adlon,Female,yes,48,0.00244
175,Iris Adrian,Female,no,82,0.06182000000000001
189,Keiko Agena,Female,yes,41,0.00158
191,Shohreh Aghdashloo,Female,yes,62,0.00895
195,Agnetha Fältskog,Female,yes,64,0.010879999999999999
200,Dianna Agron,Female,yes,28,0.0005200000000000001
202,Christina Aguilera,Female,yes,34,0.00086
204,Jenny Agutter,Female,yes,62,0.00895
212,Mariella Ahrens,Female,yes,45,0.00201
221,Anouk Aimée,Female,yes,82,0.06182000000000001
225,Nancy Ajram,Female,yes,31,0.00064
229,Malin Akerman,Female,yes,36,0.0010400000000000001
231,Karen Akers,Female,yes,69,0.017419999999999998
241,Asma al-Assad,Female,yes,39,0.00134
246,Natasha Alam,Female,yes,31,0.00064
251,Jessica Alba,Female,yes,33,0.0007700000000000001
253,Licia Albanese,Female,no,101,0.36073
258,Anna Maria Alberghetti,Female,yes,78,0.040310000000000006
271,Mabel Albertson,Female,no,81,0.055420000000000004
280,Lola Albright,Female,yes,89,0.13354000000000002
281,Madeleine Albright,Female,yes,77,0.036489999999999995
282,Tenley Albright,Female,yes,79,0.04462
284,Amy Alcott,Female,yes,58,0.00604
296,Kay Aldridge,Female,no,78,0.040310000000000006
300,Norma Aleandro,Female,yes,78,0.040310000000000006
309,Erika Alexander,Female,yes,45,0.00201
311,Jane Alexander,Female,yes,75,0.02998
313,Khandi Alexander,Female,yes,57,0.00547
318,Sasha Alexander,Female,yes,39,0.00134
319,Shana Alexander,Female,no,80,0.04965
322,Brandy Alexandre,Female,yes,50,0.00281
