,Name,gender,is alive,age,Death_Probability
0,Willie Aames,Male,yes,54,0.00632
1,Kjetil André Aamodt,Male,yes,43,0.0031
3,Hank Aaron,Male,yes,80,0.06978
4,Tommy Aaron,Male,yes,77,0.05184
5,Sani Abacha,Male,no,55,0.0069099999999999995
6,Frank Abagnale,Male,yes,66,0.01932
7,Diego Abatantuono,Male,yes,59,0.009909999999999999
8,Claudio Abbado,Male,no,81,0.07737999999999999
9,Nicola Abbagnano,Male,no,89,0.17584
10,Abu Abbas,Male,no,56,0.00757
11,Ahmad Abbas,Male,no,73,0.03633
12,Edward Abbey,Male,no,62,0.01311
13,Watkins M. Abbitt,Male,no,90,0.19307
14,Jim Abbott,Male,yes,47,0.00418
15,John Abbott,Male,no,91,0.21141
16,Dave Abbruzzese,Male,yes,46,0.00392
17,Gamal Abdel-Nasser,Male,no,52,0.005379999999999999
18,Omar Abdel-Rahman,Male,yes,76,0.04715
19,James Abdnor,Male,no,89,0.17584
21,Kareem Abdul-Jabbar,Male,yes,67,0.02122
22,King Abdullah,Male,yes,90,0.19307
23,King Abdullah II,Male,yes,52,0.005379999999999999
24,Umar Farouk Abdulmutallab,Male,yes,28,0.00107
25,Shinzo Abe,Male,yes,60,0.01086
26,Sid Abel,Male,no,82,0.08596000000000001
27,Ian Abercrombie,Male,no,78,0.05711
28,Neil Abercrombie,Male,yes,76,0.04715
30,Ralph Abernathy,Male,no,64,0.0159
31,Bob Abernethy,Male,yes,87,0.14473
32,Walter Abish,Male,yes,83,0.09557
33,John Abizaid,Male,yes,63,0.01444
34,Paul Ableman,Male,no,79,0.06305
35,James G. Abourezk,Male,yes,83,0.09557
36,Edward P. Abraham,Male,no,86,0.13083
37,F. Murray Abraham,Male,yes,75,0.04299
38,John Abraham,Male,yes,42,0.00286
39,Spencer Abraham,Male,yes,62,0.01311
40,Jim Abrahams,Male,yes,70,0.02785
41,Jon Abrahams,Male,yes,37,0.0018899999999999998
42,Peter Abrahams,Male,yes,95,0.29443
44,Jack Abramoff,Male,yes,56,0.00757
45,Roman Abramovich,Male,yes,48,0.004379999999999999
46,Max Abramovitz,Male,no,96,0.31547
47,Morton I. Abramowitz,Male,yes,81,0.07737999999999999
48,Dan Abrams,Male,yes,48,0.004379999999999999
49,Elliott Abrams,Male,yes,66,0.01932
50,Floyd Abrams,Male,yes,78,0.05711
51,J. J. Abrams,Male,yes,48,0.004379999999999999
52,M. H. Abrams,Male,yes,102,0.43146
53,Muhal Richard Abrams,Male,yes,84,0.10625
54,Jerry Abramson,Male,yes,68,0.02323
56,Alexei A. Abrikosov,Male,yes,86,0.13083
